Jahr,Segment,Anzahl,P10_Stunden,P25_Stunden,Median_Stunden,P75_Stunden,P90_Stunden
2019,large,10,0.848568889,0.980519481,1.142333333,1.37,1.505251142
2019,medium,484,1.116666667,1.85,3.015151515,4.444444444,6.198755556
2019,overall,42103,1,1.515151515,2.166666667,3,4
2019,small,41609,1,1.515151515,2.133333333,3,4
2020,large,13,1,1.042222222,1.042222222,1.074,1.37895636
2020,medium,949,1.116666667,1.906666667,3.25,4.333333333,6.405451197
2020,overall,86701,1,1.4,2,2.695652174,3.893333333
2020,small,85739,1,1.4,2,2.666666667,3.76
2021,large,15,0.59539726,0.916507937,1.082251082,1.375909091,1.5438
2021,medium,1337,1.116666667,2.083333333,3.333333333,4.4,6.377582418
2021,overall,141791,1,1.275,1.964285714,2.48,3.072
2021,small,140439,1,1.272555439,1.96,2.455621302,3
2022,large,55,0.87309688,0.957854406,1,1.213,2.093103448
2022,medium,1853,1.2,2.083333333,3.162162162,4.463768116,6.25
2022,overall,220013,1,1.202614379,1.964285714,2.217391304,2.934782609
2022,small,218105,1,1.2,1.961538462,2.191780822,2.888888889
2023,large,60,1,1.069324044,1.984082286,2.387253782,3.632575758
2023,medium,4348,1.2,1.924484023,3,4.166666667,6
2023,overall,607704,1,1.043478261,1.625,2,2.7
2023,small,603296,1,1.043478261,1.6,2,2.666666667
2024,large,102,1.07845939,1.623188406,2.04789528,2.576,3.257425436
2024,medium,5549,1.11981295,1.633333333,2.566666667,3.841269841,5.525527638
2024,overall,573941,1,1.105,1.655172414,2,2.76
2024,small,568290,1,1.104,1.632894578,2,2.742857143
2025,large,130,1.20468359,1.75,2.073666667,2.54035625,3.386666667
2025,medium,6855,1.2,1.6,2.24,3.3395662,5
2025,overall,562181,1,1.273631841,1.92,2.5,3.75
2025,small,555196,1,1.26,1.904347826,2.5,3.75
