snapshot_date,commissioning_year,size_segment,plant_count,unit_count,power_gw,energy_gwh,median_duration_hours,network_verified_plant_count,period_complete
2026-09-11,1990,overall,6,6,0.0000437,0.0000551,1.482943144,2,true
2026-09-11,1990,small,6,6,0.0000437,0.0000551,1.482943144,2,true
2026-09-11,1991,overall,10,10,0.00007358,0.00009088,1.244021739,2,true
2026-09-11,1991,small,10,10,0.00007358,0.00009088,1.244021739,2,true
2026-09-11,1992,overall,6,6,0.00002652,0.00005036,2.282608696,1,true
2026-09-11,1992,small,6,6,0.00002652,0.00005036,2.282608696,1,true
2026-09-11,1993,overall,8,8,0.00004995,0.00007892,1.683333333,1,true
2026-09-11,1993,small,8,8,0.00004995,0.00007892,1.683333333,1,true
2026-09-11,1994,overall,2,2,0.0000121,0.0000157,1.782608696,1,true
2026-09-11,1994,small,2,2,0.0000121,0.0000157,1.782608696,1,true
2026-09-11,1995,overall,6,6,0.00004168,0.0000538,1,1,true
2026-09-11,1995,small,6,6,0.00004168,0.0000538,1,1,true
2026-09-11,1996,overall,5,5,0.00002456,0.000046736,2,0,true
2026-09-11,1996,small,5,5,0.00002456,0.000046736,2,0,true
2026-09-11,1997,overall,1,1,0.000005,0.000005,1,0,true
2026-09-11,1997,small,1,1,0.000005,0.000005,1,0,true
2026-09-11,1998,overall,2,2,0.0000086,0.00002267,2.618532609,1,true
2026-09-11,1998,small,2,2,0.0000086,0.00002267,2.618532609,1,true
2026-09-11,1999,overall,4,4,0.000017,0.0000298,1.79,3,true
2026-09-11,1999,small,4,4,0.000017,0.0000298,1.79,3,true
2026-09-11,2000,overall,12,12,0.000048215,0.00006212,1.055555556,7,true
2026-09-11,2000,small,12,12,0.000048215,0.00006212,1.055555556,7,true
2026-09-11,2001,overall,12,12,0.00003895,0.0001046,2.375,7,true
2026-09-11,2001,small,12,12,0.00003895,0.0001046,2.375,7,true
2026-09-11,2002,medium,1,1,0.00006,0.000144,2.4,1,true
2026-09-11,2002,overall,14,14,0.00015425,0.00027195,1.19,7,true
2026-09-11,2002,small,13,13,0.00009425,0.00012795,1,6,true
2026-09-11,2003,overall,11,11,0.0000675,0.00011658,1.665714286,5,true
2026-09-11,2003,small,11,11,0.0000675,0.00011658,1.665714286,5,true
2026-09-11,2004,overall,33,33,0.00020794,0.00030985,1.290322581,16,true
2026-09-11,2004,small,33,33,0.00020794,0.00030985,1.290322581,16,true
2026-09-11,2005,overall,45,45,0.000262822,0.000378727,1.181818182,20,true
2026-09-11,2005,small,45,45,0.000262822,0.000378727,1.181818182,20,true
2026-09-11,2006,medium,1,1,0.00003,0.000032,1.066666667,0,true
2026-09-11,2006,overall,26,26,0.00018806,0.00023972,1.088888889,15,true
2026-09-11,2006,small,25,25,0.00015806,0.00020772,1.111111111,15,true
2026-09-11,2007,medium,1,1,0.0000042,0.000042,10,1,true
2026-09-11,2007,overall,30,30,0.000229714,0.000290781,1,17,true
2026-09-11,2007,small,29,29,0.000225514,0.000248781,1,16,true
2026-09-11,2008,medium,3,3,0.000885,0.0007675,0.266666667,3,true
2026-09-11,2008,overall,42,42,0.00113001,0.001038969,1,23,true
2026-09-11,2008,small,39,39,0.00024501,0.000271469,1,20,true
2026-09-11,2009,medium,3,3,0.0000516,0.00015747,4.444444444,0,true
2026-09-11,2009,overall,61,61,0.000523871,0.00070319,1.01010101,34,true
2026-09-11,2009,small,58,58,0.000472271,0.00054572,1,34,true
2026-09-11,2010,medium,7,7,0.000452986,0.00065386,1.395833333,3,true
2026-09-11,2010,overall,112,112,0.001221551,0.001559508,1.016842105,71,true
2026-09-11,2010,small,105,105,0.000768565,0.000905648,1.01,68,true
2026-09-11,2011,medium,9,9,0.000288551,0.00039097,1.296296296,7,true
2026-09-11,2011,overall,274,274,0.001856784,0.00258335,1.333333333,203,true
2026-09-11,2011,small,265,265,0.001568233,0.00219238,1.333333333,196,true
2026-09-11,2012,medium,12,12,0.00039097,0.00066816,3.666666667,7,true
2026-09-11,2012,overall,696,696,0.003560917,0.00571587,1.47826087,578,true
2026-09-11,2012,small,684,684,0.003169947,0.00504771,1.47826087,571,true
2026-09-11,2013,medium,26,26,0.00032203,0.00147973,4.824242424,22,true
2026-09-11,2013,overall,2498,2498,0.011833033,0.019354421,1.35,2115,true
2026-09-11,2013,small,2472,2472,0.011511003,0.017874691,1.333333333,2093,true
2026-09-11,2014,large,3,3,0.01018,0.00953,1,3,true
2026-09-11,2014,medium,78,78,0.00131575,0.0037269,3.964285714,69,true
2026-09-11,2014,overall,4769,4769,0.032387328,0.047018066,1.428571429,4110,true
2026-09-11,2014,small,4688,4688,0.020891578,0.033761166,1.4,4038,true
2026-09-11,2015,large,4,4,0.0092,0.0107,1.192307692,3,true
2026-09-11,2015,medium,98,98,0.00214899,0.00526591,4,84,true
2026-09-11,2015,overall,6833,6833,0.038107931,0.061222564,1.6,6012,true
2026-09-11,2015,small,6731,6731,0.026758941,0.045256654,1.6,5925,true
2026-09-11,2016,large,12,12,0.124855,0.121711,1,11,true
2026-09-11,2016,medium,96,96,0.00219531,0.00476652,4,80,true
2026-09-11,2016,overall,10998,10998,0.169024712,0.20182257,1.939393939,9837,true
2026-09-11,2016,small,10890,10890,0.041974402,0.07534505,1.939393939,9746,true
2026-09-11,2017,large,16,16,0.08733,0.098209,1.034458468,14,true
2026-09-11,2017,medium,169,169,0.006352,0.010436814,3.03030303,146,true
2026-09-11,2017,overall,17799,17799,0.163452086,0.241954865,2,15957,true
2026-09-11,2017,small,17614,17614,0.069770086,0.133309051,2,15797,true
2026-09-11,2018,large,16,16,0.13525,0.162927,1.426219178,15,true
2026-09-11,2018,medium,300,300,0.00759358,0.01709296,3,257,true
