year,solar_twh,wind_onshore_twh,wind_offshore_twh,method,days,complete_days
2015,34.73468081,71.16873922,8.16273593,daily_sum,365,365
2016,34.99850533,66.30888761,12.09309511,source_annual_aggregate,366,365
2017,35.77939995,85.96758008,17.41416534,daily_sum,365,365
2018,41.19607611,89.32283857,19.06837052,source_annual_aggregate,365,361
2019,41.706959,99.728308,24.382827,daily_sum,365,365
2020,45.784303,103.08318175,26.88315925,daily_sum,366,366
2021,46.230946,89.56510775,24.0103205,daily_sum,365,365
2022,55.727425,100.9852685,24.747841,daily_sum,365,365
2023,55.54402925,119.0071135,23.5199295,daily_sum,365,365
2024,63.148433,112.560417,25.66747975,daily_sum,366,366
2025,73.78383021,106.76789243,26.19456874,daily_sum,365,365
