year,source,generation_twh
2019,biomass,27.139926
2019,hydro,11.986345
2019,wind_offshore,15.341665
2019,wind_onshore,64.791908
2019,solar,34.622129
2019,other_renewables,1.024426
2019,lignite,71.136236
2019,hard_coal,32.526376
2019,gas,35.595180
2019,other_conventional,8.878894
2019,pumped_storage,5.889149
2019,nuclear,47.199128
2020,biomass,27.730057
2020,hydro,11.388758
2020,wind_offshore,17.497659
2020,wind_onshore,71.467073
2020,solar,38.270346
2020,other_renewables,1.072223
2020,lignite,50.407844
2020,hard_coal,18.813571
2020,gas,43.579353
2020,other_conventional,8.596064
2020,pumped_storage,7.636953
2020,nuclear,41.575541
2021,biomass,26.278511
2021,hydro,11.414856
2021,wind_offshore,14.783370
2021,wind_onshore,58.071261
2021,solar,38.434732
2021,other_renewables,0.948309
2021,lignite,64.014847
2021,hard_coal,29.368784
2021,gas,41.924913
2021,other_conventional,9.031588
2021,pumped_storage,5.500402
2021,nuclear,45.149090
2022,biomass,25.988204
2022,hydro,8.886132
2022,wind_offshore,15.488540
2022,wind_onshore,68.715485
2022,solar,46.972066
2022,other_renewables,0.891770
2022,lignite,70.643528
2022,hard_coal,41.482877
2022,gas,33.754314
2022,other_conventional,7.994955
2022,pumped_storage,6.579509
2022,nuclear,22.577332
2023,biomass,25.931838
2023,hydro,10.406499
2023,wind_offshore,14.527167
2023,wind_onshore,72.256576
2023,solar,45.881882
2023,other_renewables,0.800349
2023,lignite,52.627087
2023,hard_coal,26.648435
2023,gas,34.214786
2023,other_conventional,11.030175
2023,pumped_storage,6.998425
2023,nuclear,6.740739
2024,biomass,24.906354
2024,hydro,12.640109
2024,wind_offshore,17.354024
2024,wind_onshore,73.176477
2024,solar,53.112038
2024,other_renewables,0.723574
2024,lignite,46.118279
2024,hard_coal,16.395412
2024,gas,37.418148
2024,other_conventional,11.034387
2024,pumped_storage,7.452463
2024,nuclear,0.000000
2025,biomass,24.618011
2025,hydro,10.150472
2025,wind_offshore,15.229822
2025,wind_onshore,62.845803
2025,solar,62.237127
2025,other_renewables,0.653200
2025,lignite,46.182506
2025,hard_coal,19.361799
2025,gas,37.647178
2025,other_conventional,9.475142
2025,pumped_storage,7.236474
2025,nuclear,0.000000
2026,biomass,24.107794
2026,hydro,8.849172
2026,wind_offshore,19.192764
2026,wind_onshore,72.259377
2026,solar,70.455996
2026,other_renewables,0.600533
2026,lignite,44.101140
2026,hard_coal,21.037746
2026,gas,38.736241
2026,other_conventional,10.529817
2026,pumped_storage,7.138811
2026,nuclear,0.000000
