Monat,Zeitraum,Strompreis_EUR_MWh,Erneuerbarenanteil_Prozent,Gaspreis_EUR_MWh,Gaspreis_USD_MMBtu,USD_je_EUR,Last_GW,Stunden
2019-01,2019–2020,49.39,38.86,21.70,7.26,1.141641,62.416,744
2019-02,2019–2020,42.82,38.38,18.07,6.01,1.135115,61.537,672
2019-03,2019–2020,30.63,50.57,15.64,5.18,1.130248,58.765,743
2019-04,2019–2020,36.96,44.36,14.94,4.92,1.123825,54.842,720
2019-05,2019–2020,37.84,45.53,13.24,4.34,1.118459,54.608,744
2019-06,2019–2020,32.52,47.99,10.85,3.59,1.129340,52.940,720
2019-07,2019–2020,39.68,42.51,11.01,3.62,1.121839,55.009,744
2019-08,2019–2020,36.85,41.16,11.29,3.68,1.112623,53.159,744
2019-09,2019–2020,35.75,43.60,13.05,4.21,1.100390,54.722,720
2019-10,2019–2020,36.94,41.34,15.62,5.06,1.105257,56.876,745
2019-11,2019–2020,41.00,34.80,15.90,5.15,1.105095,59.744,720
2019-12,2019–2020,31.97,46.22,14.18,4.62,1.111345,57.013,744
2020-01,2019–2020,35.03,44.61,11.16,3.63,1.110036,60.919,744
2020-02,2019–2020,21.92,58.04,9.11,2.91,1.090500,61.968,696
2020-03,2019–2020,22.49,52.18,8.39,2.72,1.106341,57.662,743
2020-04,2019–2020,17.09,54.90,6.66,2.12,1.086190,50.724,720
2020-05,2019–2020,17.60,53.05,4.95,1.58,1.090185,49.863,744
2020-06,2019–2020,26.18,47.06,5.31,1.75,1.125459,50.616,720
2020-07,2019–2020,30.06,47.34,5.36,1.80,1.146339,51.674,744
2020-08,2019–2020,34.86,42.12,8.25,2.86,1.182810,51.745,744
2020-09,2019–2020,43.69,38.91,11.43,3.95,1.179241,53.716,720
2020-10,2019–2020,33.97,45.46,14.17,4.89,1.177518,57.321,745
2020-11,2019–2020,38.79,37.77,13.95,4.84,1.183790,59.329,720
2020-12,2019–2020,43.52,36.88,16.43,5.86,1.216973,57.739,744
2021-01,2021–2022,52.81,35.17,20.38,7.27,1.217085,61.333,744
2021-02,2021–2022,48.70,41.49,17.37,6.16,1.209790,62.141,672
