snapshot_date,state,size_segment,plant_count,unit_count,power_gw,energy_gwh,median_duration_hours,network_verified_plant_count
2026-06-30,Baden-Württemberg,large,46,46,0.108496,0.181003,2,29
2026-06-30,Baden-Württemberg,medium,4073,4073,0.115798524,0.250628326,2.65,3140
2026-06-30,Baden-Württemberg,overall,406767,406767,2.442175715,4.018639923,1.84,338957
2026-06-30,Baden-Württemberg,small,402648,402648,2.217881191,3.587008597,1.84,335788
2026-06-30,Bayern,large,202,202,0.8593484,1.547771557,2.004666736,124
2026-06-30,Bayern,medium,6606,6606,0.186670413,0.415630969,2.660869565,4463
2026-06-30,Bayern,overall,508177,508177,3.958225319,6.577081231,1.827067669,404556
2026-06-30,Bayern,small,501369,501369,2.912206506,4.613678705,1.822222222,399969
2026-06-30,Berlin,large,3,3,0.00289,0.00415,1.5,2
2026-06-30,Berlin,medium,299,299,0.008011266,0.015984452,2.783333333,264
2026-06-30,Berlin,overall,27976,27976,0.146449095,0.247393,1.971428571,25401
2026-06-30,Berlin,small,27674,27674,0.135547829,0.227258548,1.967333333,25135
2026-06-30,Brandenburg,large,25,25,0.163988,0.22625132,1.990740741,13
2026-06-30,Brandenburg,medium,665,665,0.01861852,0.038319919,2.555555556,357
2026-06-30,Brandenburg,overall,86594,86594,0.604769939,0.97514318,1.971428571,60678
2026-06-30,Brandenburg,small,85904,85904,0.422163419,0.710571941,1.971428571,60308
2026-06-30,Bremen,large,3,3,0.01995,0.0168,1.221374046,2
2026-06-30,Bremen,medium,66,66,0.00157865,0.0037163,2.3925,16
2026-06-30,Bremen,overall,8537,8537,0.056884686,0.080087458,2,3922
2026-06-30,Bremen,small,8468,8468,0.035356036,0.059571158,2,3904
2026-06-30,Hamburg,large,3,3,0.008085,0.01074,1.035,2
2026-06-30,Hamburg,medium,139,139,0.01007657,0.009762376,2.016,79
2026-06-30,Hamburg,overall,16371,16371,0.095372004,0.147937157,1.92,10804
2026-06-30,Hamburg,small,16229,16229,0.077210434,0.127434781,1.92,10723
2026-06-30,Hessen,large,18,18,0.090946,0.1589906,2.032,13
2026-06-30,Hessen,medium,1401,1401,0.039779457,0.083709372,2.8,815
2026-06-30,Hessen,overall,170079,170079,1.080940516,1.703308861,1.714285714,116569
2026-06-30,Hessen,small,168660,168660,0.950215059,1.460608889,1.706666667,115741
2026-06-30,Mecklenburg-Vorpommern,large,16,16,0.084768,0.13391208,1.751666667,11
2026-06-30,Mecklenburg-Vorpommern,medium,380,380,0.012295708,0.02566157,2.4,228
2026-06-30,Mecklenburg-Vorpommern,overall,38018,38018,0.291914223,0.467300916,1.9,28781
2026-06-30,Mecklenburg-Vorpommern,small,37622,37622,0.194850515,0.307727266,1.9,28542
2026-06-30,Niedersachsen,large,51,51,0.2604505,0.492282058,2.011391778,24
2026-06-30,Niedersachsen,medium,2763,2763,0.086046841,0.174778064,2.5,1841
2026-06-30,Niedersachsen,overall,316499,316500,2.033932924,3.272491421,1.834586466,241439
2026-06-30,Niedersachsen,small,313685,313686,1.687435583,2.605431299,1.833333333,239574
2026-06-30,Nordrhein-Westfalen,large,64,64,0.5915952,0.8769164,1.857919255,35
2026-06-30,Nordrhein-Westfalen,medium,4724,4724,0.143498953,0.303685814,2.608695652,2985
2026-06-30,Nordrhein-Westfalen,overall,505678,505678,3.485176272,5.490665845,1.824,344217
2026-06-30,Nordrhein-Westfalen,small,500890,500890,2.750082119,4.310063631,1.8125,341197
2026-06-30,Rheinland-Pfalz,large,13,13,0.075908,0.151474,1.6,10
2026-06-30,Rheinland-Pfalz,medium,1156,1156,0.029277412,0.062655628,2.5,681
2026-06-30,Rheinland-Pfalz,overall,152504,152504,0.976170241,1.525671451,1.666666667,93895
2026-06-30,Rheinland-Pfalz,small,151335,151335,0.870984829,1.311541823,1.666666667,93204
2026-06-30,Saarland,large,8,8,0.06498,0.0769768,1.616015625,7
2026-06-30,Saarland,medium,142,142,0.00326819,0.006628494,2.757575758,99
2026-06-30,Saarland,overall,30164,30164,0.244878512,0.332236654,1.533333333,23161
2026-06-30,Saarland,small,30014,30014,0.176630322,0.24863136,1.527777778,23055
2026-06-30,Sachsen,large,41,41,0.30552768,0.51960534,1.714285714,20
2026-06-30,Sachsen,medium,1055,1055,0.028296486,0.064145346,2.934782609,605
2026-06-30,Sachsen,overall,89881,89881,0.78706048,1.339995691,1.964285714,50600
2026-06-30,Sachsen,small,88785,88785,0.453236314,0.756245005,1.964285714,49975
2026-06-30,Sachsen-Anhalt,large,28,28,0.411284,0.8560308,2.032,8
2026-06-30,Sachsen-Anhalt,medium,486,486,0.016087098,0.031840838,2.5,295
2026-06-30,Sachsen-Anhalt,overall,59587,59587,0.735287125,1.368826033,1.866666667,41268
2026-06-30,Sachsen-Anhalt,small,59073,59073,0.307916027,0.480954395,1.866666667,40965
2026-06-30,Schleswig-Holstein,large,17,17,0.266945,0.449641728,1.680107527,13
2026-06-30,Schleswig-Holstein,medium,723,723,0.018170832,0.038594658,2.56,452
2026-06-30,Schleswig-Holstein,overall,90719,90719,0.743407201,1.207402674,1.90037594,69757
2026-06-30,Schleswig-Holstein,small,89979,89979,0.458291369,0.719166288,1.9,69292
2026-06-30,Thüringen,large,19,19,0.160947,0.20470264,1.15896,7
2026-06-30,Thüringen,medium,556,556,0.014651676,0.035430788,3,349
2026-06-30,Thüringen,overall,58864,58864,0.479447366,0.726648097,1.92481203,40051
2026-06-30,Thüringen,small,58289,58289,0.30384869,0.486514669,1.92,39695
