Jahr,Segment,Anzahl,P10_Stunden,P25_Stunden,Median_Stunden,P75_Stunden,P90_Stunden
2019,large,10,0.848568889,0.980519481,1.142333333,1.37,1.505251142
2019,medium,482,1.116666667,1.846296296,3,4.444444444,6.142933333
2019,overall,42157,1,1.519047619,2.166666667,3,4
2019,small,41665,1,1.515151515,2.133333333,3,4
2020,large,13,1,1.042222222,1.042222222,1.074,1.37895636
2020,medium,945,1.116666667,1.916666667,3.25,4.333333333,6.470902394
2020,overall,86737,1,1.4,2,2.695652174,3.888888889
2020,small,85779,1,1.4,2,2.666666667,3.757575758
2021,large,15,0.59539726,0.916507937,1.082251082,1.375909091,1.5438
2021,medium,1334,1.116666667,2.080677966,3.326,4.388888889,6.2898
2021,overall,141818,1,1.275,1.961538462,2.48,3.072
2021,small,140469,1,1.269035533,1.955555556,2.453333333,3
2022,large,55,0.87309688,0.957854406,1,1.213,2.093103448
2022,medium,1833,1.2,2.083333333,3.12,4.42,6.25
2022,overall,219901,1,1.201923077,1.964285714,2.21,2.934782609
2022,small,218013,1,1.2,1.960784314,2.173913043,2.88
2023,large,60,1,1.069324044,1.984082286,2.387253782,3.632575758
2023,medium,4290,1.2,1.92,3,4.166666667,6
2023,overall,606954,1,1.043478261,1.617647059,2,2.68
2023,small,602604,1,1.043478261,1.6,2,2.666666667
2024,large,102,1.07845939,1.623188406,2.033045455,2.5772,3.257425436
2024,medium,5507,1.118838849,1.629070352,2.56,3.84,5.534545455
2024,overall,573235,1,1.104,1.646090535,2,2.76
2024,small,567626,1,1.104,1.62613313,2,2.734375
2025,large,130,1.27287594,1.808181889,2.073666667,2.53,3.386666667
2025,medium,6738,1.2,1.6,2.220444444,3.347826087,5
2025,overall,559016,1,1.266666667,1.92,2.5,3.75
2025,small,552148,1,1.257102953,1.904761905,2.5,3.75
