monat,gesamt_gwh,redispatch_marktkraftwerke_gwh
2022-07,2162.86,1464.80
2022-08,1047.22,715.90
2022-09,1252.67,1008.93
2022-10,2023.60,1596.97
2022-11,3539.78,2682.90
2022-12,2342.84,1933.13
2023-01,4042.71,3344.90
2023-02,3985.56,3165.90
2023-03,3669.13,2868.70
2023-04,2950.33,2325.72
2023-05,2807.10,2051.44
2023-06,1403.53,1045.47
2023-07,2791.64,2327.65
2023-08,2035.93,1478.34
2023-09,1884.75,1509.46
2023-10,3635.23,2846.50
2023-11,2721.59,2175.77
2023-12,2370.35,1929.39
2024-01,3835.80,2992.57
2024-02,2638.69,1883.11
2024-03,1863.40,1201.40
2024-04,1817.42,1262.26
2024-05,2894.60,2295.54
2024-06,1578.62,1169.98
2024-07,1240.00,874.25
2024-08,1467.63,1096.60
2024-09,2548.29,2084.12
2024-10,2628.19,2031.72
2024-11,3171.10,2394.78
2024-12,4624.45,3493.69
2025-01,4234.31,3133.27
2025-02,2949.38,2185.90
2025-03,1850.99,1453.00
2025-04,1563.55,1243.17
2025-05,1696.41,1290.37
2025-06,2621.50,2067.60
2025-07,1862.54,1436.24
2025-08,1354.53,1099.20
2025-09,2728.20,2239.49
2025-10,3142.97,2499.00
2025-11,3247.30,2470.61
2025-12,3174.40,2272.60
2026-01,4269.10,2993.67
2026-02,1789.46,1235.35
2026-03,2190.75,1761.59
2026-04,2075.60,1566.94
2026-05,1119.86,868.87
